ProductID,price,PreferentialPrice,control_mode,GoodCount,shop_name,CommentCount,p_Name,GoodRateShow,FBnumber,GeneralCount,type,keyword,PoorCount
4071591,4691.00,4690.00,遥控式,200,戴森官方旗舰店,200,戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 银白,96,无叶,3,落地扇，塔扇，空气循环扇,适合宝宝 颜色漂亮 安装方便 噪音很小 风很柔和 风力很大 遥控方便 风扇不错 造型美观 睡眠风不错 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 风力很大 造型美观 电机好 遥控方便,6
1399677,499.00,169.00,遥控式,39000,先锋两季品旗舰店,40000,先锋（Singfun）6档遥控电风扇/落地扇DD3305 LED液晶显示,97,5片,800,落地扇,遥控方便 风扇不错 安装方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观,500
861100,199.00,159.00,机械式,170000,美的两季品旗舰店,180000,美的（Midea）FS40-11L1 落地扇/电风扇,96,3片,4900,落地扇,风扇不错 质量不错 安装方便 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观 颜色漂亮 使用方便 风力很大 噪音很小,2300
2355523,359.00,239.00,遥控式,40000,美的两季品旗舰店,42000,美的（Midea）FS40-15HRW 五叶遥控落地扇/电风扇,97,5片,900,落地扇,噪音很小 风扇不错 安装方便 质量不错 遥控方便 风很柔和 使用方便 底座很稳 造型美观 风力很大 扇网坚固 风力很大 风很柔和 底座很稳 遥控方便 安全节能 风力很大 远程遥控 风很柔和 使用方便 安装方便 风力很大 风很柔和 安全节能,600
365888,369.00,259.00,遥控式,24000,美的两季品旗舰店,25000,美的（Midea）KYS30-10CR 遥控升降转页扇/电风扇,97,5片,500,转页扇,安装方便 遥控方便 风扇不错 噪音很小 风很柔和 使用方便 质量不错 远程遥控 造型美观 睡眠风不错,200
1370345,369.00,139.00,遥控式,68000,澳柯玛两季品旗舰店,72000,澳柯玛（AUCMA）FS-40ND06(Y) 五叶AS扇叶遥控电风扇/落地扇,95,5片,2500,落地扇,遥控方便 安装方便 风扇不错 风力很大 使用方便 质量不错 底座很稳 噪音很小 风很柔和 远程遥控,1500
1361008,219.00,159.00,机械式,87000,美的两季品旗舰店,90000,美的（Midea）KYT30-15AW 台式转页扇/电风扇,97,5片,1800,转页扇,风扇不错 质量不错 风很柔和 噪音很小 使用方便 风力很大 声音小 底座很稳 睡眠风不错 电机好 少见的问题 电机好,900
2599660,359.00,198.00,遥控式,18000,格力生活电器旗舰店,18000,格力（GREE）FD-4030B 遥控式落地扇/电风扇,97,3片,300,落地扇,安装方便 遥控方便 质量不错 风扇不错 风力很大 噪音很小 造型美观 使用方便 远程遥控 底座很稳 造型美观 风很柔和 睡眠风不错 适合宝宝 底座很稳,200
4425010,399.00,329.00,遥控式,5500,美的两季品旗舰店,5700,美的（Midea）FS40-17KRW 五叶变频遥控落地扇/电风扇,96,5片,90,落地扇,遥控方便 噪音很小 安装方便 风扇不错 质量不错 造型美观 风很柔和 使用方便 风力很大 远程遥控 广角送风 遥控方便 适合宝宝 颜色漂亮 质量不错 遥控方便 电机好 远程遥控 风力很大 风很柔和 扇网坚固 安装方便 遥控方便 风很柔和 造型美观 安装方便 扇网坚固 声音很大,100
597426,289.00,189.00,机械式,60000,美的两季品旗舰店,63000,美的（Midea）FS40-8B1 五叶落地扇/电风扇,96,5片,2100,落地扇,还可以吧 风扇不错 安装方便 质量不错 噪音很小 风力很大 使用方便 风很柔和 底座很稳 造型美观,700
1365527,699.00,319.00,遥控式,17000,艾美特生活电器旗舰店,18000,艾美特(Airmate) FS4086RI-W 七叶遥控落地扇/电风扇,95,7片及以上,400,落地扇,噪音很小 风很柔和 风扇不错 质量不错 遥控方便 安装方便 风力很大 造型美观 使用方便 底座很稳,200
216706,398.00,299.00,机械式,87000,艾美特生活电器旗舰店,92000,艾美特(Airmate) FTW36T2-A 塔扇/电风扇,95,无叶,3300,塔扇,还可以吧 使用方便 风扇不错 安装方便 质量不错 造型美观 风力很大 风很柔和 底座很稳 噪音很小,1300
1429749,359.00,239.00,遥控式,9800,美的两季品旗舰店,10000,美的（Midea）FS40-15QRW 五叶遥控落地扇/电风扇,97,5片,100,落地扇,安装方便 风扇不错 遥控方便 风力很大 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 安装方便 睡眠风不错 颜色漂亮 广角送风 远程遥控 风扇不错 风力很大 造型美观 电机好,100
4840266,5691.00,5690.00,APP控制,900,戴森官方旗舰店,900,戴森(Dyson) HP03空气净化风扇/电风扇/落地扇 净化PM0.1和甲醛+强劲气流循环 凉风制暖智能合一 银白,98,无叶,10,落地扇，台扇，空气循环扇,风很柔和 噪音很小 远程遥控 造型美观 颜色漂亮 使用方便 广角送风 风扇不错 安装方便 安全节能 风很柔和 远程遥控 造型美观 遥控方便,10
1370329,199.00,59.00,机械式,80000,澳柯玛两季品旗舰店,83000,澳柯玛（AUCMA）KYT-25ND01 台式转页扇/电风扇,96,5片,2300,转页扇，台扇,风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 底座很稳 造型美观 安全节能 安装方便,1000
1507669,299.00,129.00,机械式,27000,艾美特生活电器旗舰店,28000,艾美特(Airmate) FBW32T2 台式转页扇/电风扇,97,5片,600,转页扇，台扇,风扇不错 质量不错 噪音很小 风很柔和 使用方便 造型美观 颜色漂亮 安全节能 风力很大 底座很稳 颜色漂亮 风很柔和,200
10626848028,1999.00,980.00,遥控式,1400,QG生活电器旗舰店,1400,【爆品秒杀】英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,97,无叶,30,落地扇，塔扇，台扇，空气循环扇,造型美观 质量不错 噪音很小 使用方便 风很柔和 安全节能 风扇不错 安装方便 底座很稳 遥控方便 质量不错 风很柔和 使用方便 安装方便,10
1095534,199.00,99.00,机械式,39000,澳柯玛两季品旗舰店,41000,澳柯玛（AUCMA） FS-40T6 五叶AS扇叶机械电风扇/落地扇,95,5片,1400,落地扇,安装方便 风扇不错 风力很大 质量不错 使用方便 底座很稳 噪音很小 风很柔和 电机好 声音小,800
2396504,999.00,599.00,遥控式,2200,美的两季品旗舰店,2200,美的（Midea）FZ10-16BRW 新品内旋式遥控塔扇/电风扇,97,无叶,30,塔扇,造型美观 风很柔和 风扇不错 底座很稳 质量不错 颜色漂亮 遥控方便 使用方便 安装方便 睡眠风不错 使用方便 安装方便 风扇不错 底座很稳 造型美观,30
3962523,459.00,369.00,遥控式,2500,格力生活电器旗舰店,2600,格力（GREE）FDZ-40X65Bg7  七叶遥控落地扇/直流变频落地扇/电风扇,97,7片及以上,50,落地扇,噪音很小 风很柔和 质量不错 造型美观 安全节能 安装方便 遥控方便 风扇不错 电机好 风力很大 广角送风 噪音很小 安全节能 造型美观 电机好 噪音很小 造型美观 安全节能 扇网坚固 底座很稳 风力很大 安全节能 电机好 颜色漂亮 风很柔和,20
10437854366,2080.00,599.00,遥控式,1900,欧麦斯旗舰店,2000,欧麦斯Air-H5 无叶风扇 电风扇 落地 家用电扇 台扇塔扇 月光白,97,无叶,40,落地扇，塔扇，台扇，空气循环扇,造型美观 安全节能 风力很大 风很柔和 底座很稳 噪音很小 适合宝宝 电机好 颜色漂亮 远程遥控 安装方便 使用方便 扇网坚固 质量不错 造型美观 质量不错 颜色漂亮 风很柔和 适合宝宝 使用方便 遥控方便,10
2900702,599.00,199.00,遥控式,5400,康佳两季品旗舰店,5800,康佳（KONKA）KF-TAS16Y01D遥控塔扇/落地扇/电风扇（白色）,94,无叶,200,塔扇,风扇不错 遥控方便 风很柔和 造型美观 使用方便 安装方便 噪音很小 质量不错 颜色漂亮 风力很大,100
4621642,299.00,129.00,机械式,8900,海尔两季品旗舰店,9500,海尔（Haier）FSJ4098B 五叶机械式电风扇/落地扇,93,5片,300,落地扇,风力很大 风扇不错 安装方便 质量不错 底座很稳 使用方便 造型美观 扇网坚固 颜色漂亮 风很柔和 风很柔和 电机好 使用方便 质量不错 造型美观 质量不错 噪音很小 使用方便 风扇不错 底座很稳 扇网坚固 使用方便,200
4424990,319.00,249.00,机械式,2800,美的两季品旗舰店,2900,美的（Midea）FZ10-17DW 新款精致居家塔扇/电风扇,97,无叶,60,塔扇,造型美观 风扇不错 风很柔和 安装方便 使用方便 质量不错 噪音很小 底座很稳 风力很大 安全节能 电机好 安全节能 广角送风 颜色漂亮 适合宝宝 噪音很小 质量不错 造型美观 底座很稳 风很柔和 安装方便 噪音很小 颜色漂亮 风力很大 电机好 使用方便 风力很大 电机好 适合宝宝 扇网坚固,40
1399668,199.00,109.00,机械式,93000,先锋两季品旗舰店,97000,先锋（Singfun）大风量电风扇/落地扇DD1112 ,96,3片,2700,落地扇,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 底座很稳 风很柔和 电机好 声音小 电机好 广角送风,1400
2418704,139.00,89.00,机械式,22000,韩国现代（HYUNDAI)两季品旗舰店,23000,HYUNDAI 现代大风量电风扇/机械落地扇/风扇FS40-A002,95,5片,600,落地扇,风扇不错 安装方便 质量不错 风力很大 使用方便 底座很稳 噪音很小 风很柔和 安全节能 造型美观 风扇不错,300
1093078,129.00,69.00,机械式,61000,康佳两季品旗舰店,65000,康佳（KONKA）电风扇/台扇/五风叶/五扇叶台式转页扇KF-25HY37,94,5片,2300,转页扇，台扇,风扇不错 还可以吧 质量不错 风很柔和 噪音很小 风力很大 安全节能 造型美观 底座很稳 安装方便,1000
4593976,199.00,89.90,机械式,9500,长虹两季品旗舰店,10000,长虹（CHANGHONG）CFS-LD407 电风扇/落地扇/风扇,94,4片,300,落地扇,质量不错 噪音很小 风扇不错 安装方便 使用方便 风力很大 风很柔和 颜色漂亮 造型美观 安全节能 安全节能 风力很大,200
3864159,159.00,109.00,机械式,6700,美的两季品旗舰店,6900,美的（Midea）KYT25-17D 家用台式转页扇/电风扇,97,5片,100,转页扇,风扇不错 噪音很小 质量不错 风很柔和 使用方便 造型美观 安全节能 风力很大 底座很稳 睡眠风不错 质量不错 安全节能 使用方便 风扇不错 底座很稳 风很柔和 安全节能 使用方便,70
4840262,5191.00,5190.00,APP控制,100,戴森官方旗舰店,100,戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白,96,无叶,2,落地扇，塔扇，空气循环扇,适合宝宝 质量不错 风扇不错 安全节能 远程遥控 广角送风 造型美观 安装方便 扇网坚固 噪音很小 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,2
4575098,199.00,89.90,机械式,11000,华生旗舰店,11000,华生（Wahson）FS35-C401 电风扇/落地扇/风扇,96,5片,200,落地扇,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 造型美观 底座很稳 风很柔和 颜色漂亮 安装方便,100
3912031,399.00,158.00,遥控式,5800,先锋两季品旗舰店,6100,先锋（Singfun）9叶遥控电风扇/落地扇DLD-D5 ,97,7片及以上,100,落地扇,安装方便 遥控方便 质量不错 风扇不错 造型美观 风力很大 使用方便 颜色漂亮 远程遥控 噪音很小 风力很大 遥控方便 电机好 扇网坚固 质量不错 底座很稳 广角送风 质量不错 安装方便 使用方便 广角送风 安装方便 底座很稳 质量不错 风力很大 风扇不错 颜色漂亮 风很柔和 安全节能 风力很大 安装方便 底座很稳 风扇不错 风力很大 使用方便 安装方便 电机好,80
2552698,499.00,199.00,遥控式,7200,澳柯玛两季品旗舰店,7500,澳柯玛（AUCMA）FS-08M603(Y) 90度旋转遥控定时塔扇/电风扇,95,无叶,100,塔扇,安装方便 遥控方便 风很柔和 使用方便 造型美观 质量不错 风扇不错 噪音很小 远程遥控 颜色漂亮,100
2392868,799.00,399.00,遥控式,16000,艾美特生活电器旗舰店,18000,艾美特(Airmate) FT47HR-W 遥控塔扇/电风扇,91,无叶,1100,塔扇,安装方便 风很柔和 遥控方便 造型美观 使用方便 风扇不错 质量不错 噪音很小 睡眠风不错 远程遥控 造型美观 风很柔和 远程遥控,500
4533802,799.00,399.00,遥控式,1200,艾美特生活电器旗舰店,1300,艾美特(Airmate) SW164R-1 七叶遥控台立扇/电风扇,97,7片及以上,20,台扇,造型美观 风很柔和 噪音很小 安装方便 颜色漂亮 风扇不错 遥控方便 质量不错 底座很稳 使用方便 质量不错 远程遥控 噪音很小 安装方便 质量不错 安装方便 造型美观 睡眠风不错 遥控方便 电机好,10
10143138838,298.00,188.00,遥控式,7500,格力明达丰专卖店,7900,格力（GREE)FD-4009B 家用床头定时摇头遥控落地扇 节能立式办公宿舍静音电风扇,96,3片,100,落地扇,质量不错 遥控方便 噪音很小 安装方便 风扇不错 底座很稳 造型美观 远程遥控 风很柔和 使用方便 电机好 扇网坚固 遥控方便 风扇不错,100
10913792973,269.00,249.00,遥控式,5100,美的绿灯侠专卖店,5200,美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,98,5片,50,落地扇,质量不错 风扇不错 风力很大 噪音很小 安装方便 使用方便 造型美观 遥控方便 安全节能 底座很稳 造型美观 颜色漂亮 风扇不错 风很柔和 质量不错 风力很大 风扇不错,50
375147,299.00,219.00,遥控式,7600,艾美特生活电器旗舰店,8000,艾美特(Airmate) FW4035R 五叶遥控壁扇/电风扇,96,5片,200,壁扇,遥控方便 质量不错 安装方便 风扇不错 风力很大 使用方便 噪音很小 风很柔和 电机好 底座很稳 噪音很小 广角送风 使用方便 风扇不错 使用方便 噪音很小,100
4579848,129.00,99.00,机械式,7000,长城官方旗舰店,7300,长城（CHANGCHENG）FS-35（710）电风扇/落地扇/炫酷五叶风扇/摇头电扇,96,5片,100,落地扇,安装方便 风扇不错 质量不错 使用方便 风力很大 风很柔和 噪音很小 底座很稳 颜色漂亮 造型美观 噪音很小 风很柔和 遥控方便 风很柔和 底座很稳 安全节能,100
11533566845,289.00,249.00,遥控式,3500,美的环境电器旗舰店,3600,美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,98,5片,30,落地扇,噪音很小 安全节能 风力很大 底座很稳 扇网坚固 远程遥控 颜色漂亮 造型美观 风很柔和 电机好 遥控方便 质量不错 噪音很小 风扇不错,30
1083232,769.00,698.00,遥控式,4600,艾美特生活电器旗舰店,4900,艾美特(Airmate) FTW50BR 直流变频遥控塔扇/电风扇,94,无叶,100,塔扇,造型美观 还可以吧 风很柔和 使用方便 质量不错 遥控方便 风扇不错 噪音很小 远程遥控 睡眠风不错,80
848318,139.00,79.00,机械式,12000,格力生活电器旗舰店,12000,格力（GREE） KYT-2501a 转页扇/电风扇,96,5片,300,转页扇，台扇,风扇不错 使用方便 质量不错 噪音很小 风很柔和 造型美观 风力很大 安全节能 颜色漂亮 底座很稳 广角送风 风力很大 电机好,100
216696,339.00,269.00,遥控式,15000,艾美特生活电器旗舰店,16000,艾美特(Airmate) FBW09RS 升降遥控转页扇/电风扇,95,5片,500,转页扇,遥控方便 安装方便 质量不错 使用方便 风扇不错 噪音很小 风力很大 风很柔和 底座很稳 睡眠风不错 安装方便 遥控方便 噪音很小,200
10988055671,399.00,329.00,遥控式,3400,美的环境电器旗舰店,3400,美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,98,无叶,30,塔扇,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 扇网坚固 电机好 适合宝宝,30
3864157,499.00,399.00,遥控式,1900,美的两季品旗舰店,1900,美的（Midea）FS40-15CR 五叶变频遥控落地扇/电风扇,98,5片,20,落地扇,噪音很小 造型美观 遥控方便 安装方便 风很柔和 质量不错 风扇不错 底座很稳 安全节能 颜色漂亮 遥控方便 安全节能 底座很稳 安装方便 风很柔和 造型美观 安装方便 风很柔和 遥控方便 噪音很小 质量不错 遥控方便 睡眠风不错 噪音很小 安全节能 电机好 风很柔和 广角送风 遥控方便 造型美观,10
2785342,5190.00,5190.00,APP控制,1500,戴森官方旗舰店,1500,戴森(Dyson) 空气净化风扇智能版 TP02白银色,98,无叶,10,落地扇，塔扇，空气循环扇,造型美观 噪音很小 风很柔和 安装方便 风扇不错 质量不错 颜色漂亮 安全节能 底座很稳 使用方便 风扇不错 风很柔和 睡眠风不错 时尚漂亮 很舒适 安全节能 扇网坚固 噪音很小 造型美观 安装方便,10
PreferentialPrice,shop_name,type,CommentCount,GoodRateShow,price,ProductID,GoodCount,FBnumber,keyword,GeneralCount,control_mode,p_Name,PoorCount
219.00,美的两季品旗舰店,落地扇,260000,95,329.00,1069555,250000,5片,遥控方便 安装方便 风扇不错 风力很大 质量不错 使用方便 噪音很小 底座很稳 风很柔和 睡眠风不错 质量不错 远程遥控 安全节能 风力很大 噪音很小,6600,遥控式,美的（Midea）FS40-13ER 五叶遥控落地扇/电风扇,4100
329.00,美的两季品旗舰店,塔扇,60000,97,449.00,1361004,58000,无叶,遥控方便 安装方便 风扇不错 使用方便 质量不错 风很柔和 噪音很小 风力很大 造型美观 底座很稳 造型美观 风扇不错,1200,遥控式,美的（midea）FZ10-15BRW 遥控塔扇/电风扇,700
208.00,格力生活电器旗舰店,落地扇,32000,97,299.00,3899679,31000,5片,风扇不错 安装方便 遥控方便 质量不错 噪音很小 底座很稳 造型美观 使用方便 风力很大 远程遥控 底座很稳 广角送风 扇网坚固 使用方便 风很柔和,500,遥控式,格力（GREE）FD-40X64Bh5  五叶遥控落地扇/电风扇,300
109.00,奥克斯电风扇旗舰店,落地扇，空气循环扇,170000,96,239.00,1058010,160000,5片,风扇不错 安装方便 风力很大 质量不错 使用方便 底座很稳 造型美观 风很柔和 安全节能 颜色漂亮 遥控方便 使用方便 安装方便 底座很稳 安装方便 造型美观,5500,机械式,奥克斯（AUX）FS-40-A1613 电风扇/酷黑五扇叶落地扇,2500
299.00,艾美特生活电器旗舰店,塔扇,17000,94,799.00,4533788,16000,无叶,造型美观 安装方便 遥控方便 风很柔和 使用方便 风扇不错 质量不错 噪音很小 颜色漂亮 远程遥控,600,遥控式,艾美特(Airmate) FT41R 遥控塔扇/电风扇,300
199.00,艾美特生活电器旗舰店,落地扇,330000,96,299.00,595936,320000,3片,风扇不错 安装方便 遥控方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 远程遥控 底座很稳 颜色漂亮 安装方便 遥控方便 风很柔和 质量不错,8700,遥控式,艾美特(Airmate) FSW52R 遥控落地扇/电风扇,4000
169.00,美的两季品旗舰店,落地扇,72000,97,319.00,1077868,70000,5片,风扇不错 质量不错 安装方便 风力很大 噪音很小 使用方便 底座很稳 风很柔和 电机好 声音小,1500,机械式,美的（Midea）FS40-13C 五叶落地扇/电风扇,900
189.00,艾美特生活电器旗舰店,落地扇,180000,96,309.00,829764,170000,5片,风扇不错 质量不错 安装方便 风力很大 使用方便 噪音很小 底座很稳 风很柔和 造型美观 安全节能 风力很大 风很柔和 底座很稳 使用方便 安全节能,5600,机械式,艾美特(Airmate) FSW65T2-5 五叶落地扇/电风扇,2400
148.00,格力生活电器旗舰店,落地扇,150000,96,239.00,603496,140000,3片,风扇不错 安装方便 质量不错 风力很大 噪音很小 使用方便 底座很稳 风很柔和 声音小 电机好 风力很大 质量不错 安装方便 小清新 厚重耐磨 电机好 使用方便 风扇不错 底座很稳 安装方便 扇网坚固 底座很稳,4400,机械式,格力（GREE）FD-4013JD 机械式落地扇/电风扇,1700
3790.00,戴森官方旗舰店,落地扇，塔扇,1600,97,4691.00,1182248,1600,无叶,造型美观 风扇不错 风很柔和 质量不错 遥控方便 安装方便 安全节能 噪音很小 睡眠风不错 风力很大,30,遥控式,戴森(Dyson) AM07白银 落地式无叶电风扇/塔扇,10
109.00,先锋两季品旗舰店,落地扇,97000,96,199.00,3998821,93000,5片,风力很大 安装方便 风扇不错 质量不错 使用方便 底座很稳 造型美观 颜色漂亮 噪音很小 安全节能 噪音很小 安装方便 质量不错 风力很大 广角送风,2700,机械式,先锋（Singfun）大风量电风扇/落地扇 DD1701,1400
139.00,康佳两季品旗舰店,落地扇,95000,94,268.00,1093073,89000,5片,遥控方便 安装方便 风力很大 风扇不错 质量不错 使用方便 远程遥控 底座很稳 风很柔和 噪音很小,4000,遥控式,康佳（KONKA）遥控电风扇/落地扇/五扇叶遥控落地扇KF-40LY01,2200
169.00,格力生活电器旗舰店,落地扇,15000,97,239.00,4483862,15000,5片,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 风很柔和 造型美观 底座很稳 颜色漂亮 噪音很小 底座很稳 安装方便 颜色漂亮 风力很大 广角送风 风很柔和 电机好 底座很稳 噪音很小 底座很稳 扇网坚固 安装方便 使用方便 噪音很小,200,机械式,格力（GREE）FD-4010-WG 五叶机械落地扇 电风扇,100
219.00,艾美特生活电器旗舰店,落地扇,11000,96,599.00,3918861,11000,5片,风扇不错 安装方便 遥控方便 造型美观 噪音很小 风很柔和 使用方便 颜色漂亮 风力很大 远程遥控 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观 风很柔和 睡眠风不错 遥控方便 颜色漂亮 风扇不错,200,遥控式,艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇,100
4690.00,戴森官方旗舰店,落地扇，塔扇，空气循环扇,200,96,4691.00,4071591,200,无叶,适合宝宝 颜色漂亮 安装方便 噪音很小 风很柔和 风力很大 遥控方便 风扇不错 造型美观 睡眠风不错 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 风力很大 造型美观 电机好 遥控方便,3,遥控式,戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 银白,6
169.00,先锋两季品旗舰店,落地扇,40000,97,499.00,1399677,39000,5片,遥控方便 风扇不错 安装方便 质量不错 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观,800,遥控式,先锋（Singfun）6档遥控电风扇/落地扇DD3305 LED液晶显示,500
159.00,美的两季品旗舰店,落地扇,180000,96,199.00,861100,170000,3片,风扇不错 质量不错 安装方便 噪音很小 使用方便 风力很大 风很柔和 底座很稳 造型美观 颜色漂亮 使用方便 风力很大 噪音很小,4900,机械式,美的（Midea）FS40-11L1 落地扇/电风扇,2400
239.00,美的两季品旗舰店,落地扇,42000,97,359.00,2355523,40000,5片,噪音很小 风扇不错 安装方便 质量不错 遥控方便 风很柔和 使用方便 底座很稳 造型美观 风力很大 扇网坚固 风力很大 风很柔和 底座很稳 遥控方便 安全节能 风力很大 远程遥控 风很柔和 使用方便 安装方便 风力很大 风很柔和 安全节能,900,遥控式,美的（Midea）FS40-15HRW 五叶遥控落地扇/电风扇,600
259.00,美的两季品旗舰店,转页扇,25000,97,369.00,365888,24000,5片,安装方便 遥控方便 风扇不错 噪音很小 风很柔和 使用方便 质量不错 远程遥控 造型美观 睡眠风不错,500,遥控式,美的（Midea）KYS30-10CR 遥控升降转页扇/电风扇,200
